pca_mode,label_hypoth,sex_hypoth,age_hypoth,race_hypoth,label_pv,sex_pv,age_pv,race_pv
PCA Mode 1,True,False,True,False,0.0,1.0,0.0,1.0
PCA Mode 2,True,False,True,False,1.08994e-05,0.2831387323,0.0,1.0
PCA Mode 3,True,True,True,True,0.0018297872,0.0,1.85e-08,0.0
PCA Mode 4,True,False,False,True,4.96577e-05,0.0827959969,0.0972996389,0.004655978
