tsne_dim,label_hypoth,sex_hypoth,age_hypoth,race_hypoth,label_pv,sex_pv,age_pv,race_pv
T-SNE 1,True,True,True,False,0.0,0.0,9e-06,0.053966
T-SNE 2,True,False,True,False,0.0,0.642385,0.0,0.800664
