val/accuracy,val/PPV,val/NPV,val/TPR,val/TNR,val/f1,val/auroc,val/accuracy_group_0,val/accuracy_group_1,val/disease_prevalence_group_0,val/disease_prevalence_group_1,val/prevalence_group_0,val/prevalence_group_1,val/auc_group_0,val/auc_group_1,val/tpr_group_0,val/tpr_group_1,val/tnr_group_0,val/tnr_group_1,val/balanced_acc_group_0,val/balanced_acc_group_1,val/loss,epoch,step,train/accuracy,train/PPV,train/NPV,train/TPR,train/TNR,train/f1,train/auroc,train/accuracy_group_0,train/accuracy_group_1,train/disease_prevalence_group_0,train/disease_prevalence_group_1,train/prevalence_group_0,train/prevalence_group_1,train/auc_group_0,train/auc_group_1,train/tpr_group_0,train/tpr_group_1,train/tnr_group_0,train/tnr_group_1,train/balanced_acc_group_0,train/balanced_acc_group_1,train/loss,test/accuracy,test/PPV,test/NPV,test/TPR,test/TNR,test/f1,test/auroc,test/accuracy_group_0,test/accuracy_group_1,test/disease_prevalence_group_0,test/disease_prevalence_group_1,test/prevalence_group_0,test/prevalence_group_1,test/auc_group_0,test/auc_group_1,test/tpr_group_0,test/tpr_group_1,test/tnr_group_0,test/tnr_group_1,test/balanced_acc_group_0,test/balanced_acc_group_1,test/loss
0.8372092843055725,0.8571428656578064,0.837067186832428,0.03614457696676254,0.9987849593162537,0.06936416029930115,0.8647469586730885,0.9004457592964172,0.702531635761261,0.1025260029717682,0.3069620253164557,0.6804853387259858,0.3195146612740142,0.8625347922065457,0.8156569222802805,0.043478261679410934,0.030927835032343864,0.998344361782074,1.0,0.5209113158652462,0.5154639175257731,0.674475908279419,11,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,11,1499,0.872097373008728,0.6372548937797546,0.8847731351852417,0.2298850566148758,0.9783499240875244,0.33788174390792847,0.8654959777616708,0.910463273525238,0.7717785835266113,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.8733790232118179,0.8113501267734571,0.21467889845371246,0.2440273016691208,0.9831352829933167,0.9629172086715698,0.5989070999820664,0.603472242730038,0.4935692250728607,,,,,,,,,,,,,,,,,,,,,,
0.8554095029830933,0.6385542154312134,0.8752759099006653,0.3192771077156067,0.9635480046272278,0.4257028102874756,0.8745846081775461,0.8974739909172058,0.7658227682113647,0.1025260029717682,0.3069620253164557,0.6804853387259858,0.3195146612740142,0.8804347826086957,0.8234241867909429,0.17391304671764374,0.42268040776252747,0.9801324605941772,0.9178082346916199,0.5770227469046934,0.6702443157746081,0.5974624156951904,12,1624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,12,1624,0.8700891137123108,0.6126760840415955,0.8846306800842285,0.23076923191547394,0.9758630990982056,0.3352601230144501,0.862090565420805,0.9102897644042969,0.7649728059768677,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.8742426533418195,0.8015236018005627,0.23302751779556274,0.2286689430475235,0.9810271859169006,0.9592089056968689,0.6070273682137696,0.5939389209279564,0.4980659484863281,,,,,,,,,,,,,,,,,,,,,,
0.8584428429603577,0.7096773982048035,0.8683926463127136,0.2650602459907532,0.9781287908554077,0.38596490025520325,0.8833535844471446,0.8959881067276001,0.7784810066223145,0.1025260029717682,0.3069620253164557,0.6804853387259858,0.3195146612740142,0.8756838468183127,0.8583533399237395,0.11594203114509583,0.3711340129375458,0.9850993156433105,0.9589040875434875,0.5505206833669258,0.6650190651037988,0.5059264302253723,13,1749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,13,1749,0.875109851360321,0.6471861600875854,0.8891405463218689,0.26436781883239746,0.9761556386947632,0.375392347574234,0.8681879465812397,0.9130660891532898,0.7758620977401733,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.8807849328893279,0.8075764543088211,0.2440367043018341,0.28327643871307373,0.9829436540603638,0.9542645215988159,0.6134901769105531,0.6187704873078886,0.49398666620254517,,,,,,,,,,,,,,,,,,,,,,
0.856420636177063,0.6363636255264282,0.8779134154319763,0.33734938502311707,0.9611178636550903,0.4409448802471161,0.876465765858086,0.8945022225379944,0.7753164768218994,0.1025260029717682,0.3069620253164557,0.6804853387259858,0.3195146612740142,0.8735003359247528,0.8466789059925623,0.260869562625885,0.39175257086753845,0.9668874144554138,0.9452054500579834,0.6138784912179672,0.6684790283858212,0.525950014591217,14,1874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,14,1874,0.872348427772522,0.6272321343421936,0.8869530558586121,0.24845269322395325,0.9755704998970032,0.3559214770793915,0.8668602638861511,0.9073399305343628,0.7808529734611511,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.8720832263758831,0.8223051675476823,0.21284404397010803,0.2815699577331543,0.9798773527145386,0.961681067943573,0.5963606921700113,0.6216255268164885,0.47648343443870544,,,,,,,,,,,,,,,,,,,,,,
0.8594539761543274,0.7076923251152039,0.8701298832893372,0.27710843086242676,0.9769137501716614,0.3982684016227722,0.8776149555695444,0.8989598751068115,0.7753164768218994,0.1025260029717682,0.3069620253164557,0.6804853387259858,0.3195146612740142,0.8707889432767061,0.8499270347879301,0.15942029654979706,0.36082473397254944,0.9834437370300293,0.9589040875434875,0.571431999232172,0.6598644259285411,0.5852574110031128,15,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,15,1999,0.8771181106567383,0.6666666865348816,0.8898948431015015,0.2687886953353882,0.9777647852897644,0.3831127882003784,0.8678576103315314,0.9125455617904663,0.7844827771186829,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.882947172982724,0.8085530950864211,0.2513761520385742,0.28498294949531555,0.981602132320404,0.9653893709182739,0.6164891466026211,0.6251861523728364,0.47524189949035645,,,,,,,,,,,,,,,,,,,,,,
