val/accuracy,val/f1,val/auc,val/youden,val/PPV,val/NPV,val/TPR,val/TNR,val/FPR,val/FNR,val/loss,val/primary_loss,val/fair_loss,epoch,step,train/accuracy,train/f1,train/auc,train/youden,train/PPV,train/NPV,train/TPR,train/TNR,train/FPR,train/FNR,train/loss,train/primary_loss,train/fair_loss
0.5407783389091492,0.6648555397987366,0.8750157817212597,0.45131514343831114,0.9904341697692871,0.15789473056793213,0.5003717541694641,0.9509434103965759,0.049056604504585266,0.4996282458305359,1.085766077041626,1.085766077041626,0.0,0,261,,,,,,,,,,,,,
,,,,,,,,,,,,,0,261,0.7437276244163513,0.7474985122680664,0.8154256931265438,0.48767541247400814,0.7325795888900757,0.7556987404823303,0.7630377411842346,0.7246376872062683,0.2753623127937317,0.23696227371692657,1.067216396331787,1.067216396331787,0.0
0.607106626033783,0.7268877625465393,0.8791877674124992,0.5139720838886161,0.9897501468658447,0.17862266302108765,0.5743494629859924,0.9396226406097412,0.06037735939025879,0.42565056681632996,0.8471667170524597,0.8471667170524597,0.0,1,523,,,,,,,,,,,,,
,,,,,,,,,,,,,1,523,0.7521505355834961,0.7521357536315918,0.8274739295232209,0.5043881184256378,0.746472179889679,0.7579150199890137,0.7578858733177185,0.7465022802352905,0.25349774956703186,0.2421141415834427,0.8104240894317627,0.8104240894317627,0.0
0.6033840775489807,0.723454475402832,0.8831338991372659,0.5132847022515254,0.9903100728988647,0.1776830106973648,0.5698884725570679,0.9433962106704712,0.056603774428367615,0.43011152744293213,0.8074007034301758,0.8074007034301758,0.0,2,785,,,,,,,,,,,,,
,,,,,,,,,,,,,2,785,0.7641577124595642,0.763677716255188,0.8385468493275834,0.5283648307788498,0.7597665786743164,0.7685762047767639,0.7676293849945068,0.7607354521751404,0.23926453292369843,0.23237064480781555,0.6784390807151794,0.6784390807151794,0.0
0.5871404409408569,0.7088305354118347,0.8826415094339622,0.4954408360805218,0.9900000095367432,0.17182131111621857,0.5520446300506592,0.9433962106704712,0.056603774428367615,0.4479553997516632,0.7489579916000366,0.7489579916000366,0.0,3,1047,,,,,,,,,,,,,
,,,,,,,,,,,,,3,1047,0.7706093192100525,0.7721068263053894,0.8497434409615165,0.5411913326481672,0.7698224782943726,0.7714113593101501,0.774404764175415,0.7667865753173828,0.2332134246826172,0.22559523582458496,0.6206294894218445,0.6206294894218445,0.0
0.581387460231781,0.703570544719696,0.8798961913446025,0.48912113347829145,0.9898853898048401,0.16983695328235626,0.5457249283790588,0.9433962106704712,0.056603774428367615,0.45427510142326355,0.7522538304328918,0.7522538304328918,0.0,4,1309,,,,,,,,,,,,,
,,,,,,,,,,,,,4,1309,0.7753285765647888,0.7757170796394348,0.8581764477491354,0.5507090826818244,0.7707074284553528,0.7800264954566956,0.7807922959327698,0.7699167728424072,0.23008322715759277,0.21920768916606903,0.5908259153366089,0.5908259153366089,0.0
