pca_mode,label similarity,sex similarity,age similarity,race similarity
PCA Mode 1,0.539473029250776,0.04227532534073308,0.2059223457302943,0.05052274180369374
PCA Mode 2,0.3159731988477818,0.09002593442900832,0.17793005598391978,0.0928096975932477
PCA Mode 3,0.14625110872913485,0.1796265078150694,0.0610232185888337,0.1038131075869097
PCA Mode 4,0.361341390794607,0.18304557629421986,0.13554399966928288,0.14361801415470463
