val/accuracy,val/f1,val/auc,val/youden,val/PPV,val/NPV,val/TPR,val/TNR,val/FPR,val/FNR,val/loss,val/primary_loss,val/fair_loss,epoch,step,train/accuracy,train/f1,train/auc,train/youden,train/PPV,train/NPV,train/TPR,train/TNR,train/FPR,train/FNR,train/loss,train/primary_loss,train/fair_loss
0.6570644974708557,0.4813278019428253,0.8781587978369384,0.5102433444259566,0.32768362760543823,0.9679999947547913,0.90625,0.6039933562278748,0.39600664377212524,0.09375,1.1932671070098877,1.1932671070098877,0.0,0,64,,,,,,,,,,,,,
,,,,,,,,,,,,,0,64,0.7853162288665771,0.7963218092918396,0.8674932358798992,0.5715970369396115,0.7520624995231628,0.8273026347160339,0.8461162447929382,0.7254807949066162,0.2745192348957062,0.15388372540473938,0.9785089492797852,0.9785089492797852,0.0
0.832647442817688,0.6234567761421204,0.9024932404326123,0.6309926164725459,0.5153061151504517,0.9493433237075806,0.7890625,0.841930091381073,0.15806987881660461,0.2109375,0.8617414236068726,0.8617414236068726,0.0,1,129,,,,,,,,,,,,,
,,,,,,,,,,,,,1,129,0.8366852402687073,0.837824821472168,0.9147741267116527,0.6749601405609276,0.8105214238166809,0.8650833964347839,0.8670318722724915,0.8079282641410828,0.19207173585891724,0.13296812772750854,0.6680462956428528,0.6680462956428528,0.0
0.8285322189331055,0.6105918884277344,0.9046771006655574,0.6075551164725459,0.5077720284461975,0.9440298676490784,0.765625,0.841930091381073,0.15806987881660461,0.234375,0.8002594709396362,0.8002594709396362,0.0,2,194,,,,,,,,,,,,,
,,,,,,,,,,,,,2,194,0.8577659130096436,0.8589959144592285,0.9350001714886294,0.7163033065356901,0.8378631472587585,0.8790767788887024,0.8812222480773926,0.8350810408592224,0.16491897404193878,0.11877772212028503,0.5757710337638855,0.5757710337638855,0.0
0.8834019303321838,0.7017543911933899,0.9297784941763727,0.6864080698835275,0.6369426846504211,0.9510489702224731,0.78125,0.9051580429077148,0.09484192728996277,0.21875,0.6782295107841492,0.6782295107841492,0.0,3,259,,,,,,,,,,,,,
,,,,,,,,,,,,,3,259,0.8713350892066956,0.8732394576072693,0.9464114506631717,0.7431725138987733,0.8518863320350647,0.8924242258071899,0.8956905007362366,0.8474820256233215,0.15251798927783966,0.10430949926376343,0.5234150886535645,0.5234150886535645,0.0
0.8861454129219055,0.6844106316566467,0.9241888519134775,0.6282497920133112,0.6666666865348816,0.936026930809021,0.703125,0.9251247644424438,0.07487520575523376,0.296875,0.6699597239494324,0.6699597239494324,0.0,4,324,,,,,,,,,,,,,
,,,,,,,,,,,,,4,324,0.8788466453552246,0.880382776260376,0.9503412384159774,0.7577418612406706,0.8679245114326477,0.8903836607933044,0.893203854560852,0.8645379543304443,0.13546201586723328,0.10679611563682556,0.4958873391151428,0.4958873391151428,0.0
0.8340191841125488,0.65329509973526,0.9402298252911814,0.7125883943427622,0.5158371329307556,0.9724409580230713,0.890625,0.821963369846344,0.17803660035133362,0.109375,0.6894904971122742,0.6894904971122742,0.0,5,389,,,,,,,,,,,,,
,,,,,,,,,,,,,5,389,0.8938696384429932,0.8942028880119324,0.960822045022279,0.788919823422507,0.8706490993499756,0.9185407161712646,0.9190665483474731,0.8698533177375793,0.13014671206474304,0.08093346655368805,0.463581919670105,0.463581919670105,0.0
0.8971193432807922,0.7191011309623718,0.9353421381031615,0.6784525790349418,0.6906474828720093,0.9457626938819885,0.75,0.9284525513648987,0.07154741883277893,0.25,0.6215735673904419,0.6215735673904419,0.0,6,454,,,,,,,,,,,,,
,,,,,,,,,,,,,6,454,0.9076811075210571,0.9100354313850403,0.9646016784634454,0.8151597649756619,0.8913043737411499,0.925699770450592,0.9295706748962402,0.8855891227722168,0.11441090703010559,0.07042933255434036,0.4443725049495697,0.4443725049495697,0.0
0.9094650149345398,0.75,0.946963394342762,0.7118734400998337,0.7279411554336548,0.9510961174964905,0.7734375,0.9384359121322632,0.06156405806541443,0.2265625,0.5985482931137085,0.5985482931137085,0.0,7,519,,,,,,,,,,,,,
,,,,,,,,,,,,,7,519,0.9134964942932129,0.9133705496788025,0.9734431369453018,0.8278175416039899,0.8949120044708252,0.9328063130378723,0.9326065182685852,0.8952109813690186,0.10478899627923965,0.067393459379673,0.42210134863853455,0.42210134863853455,0.0
0.9231824278831482,0.78125,0.9514871048252911,0.7346609816971714,0.78125,0.9534109830856323,0.78125,0.9534109830856323,0.046589016914367676,0.21875,0.5879524946212769,0.5879524946212769,0.0,8,584,,,,,,,,,,,,,
,,,,,,,,,,,,,8,584,0.8999273180961609,0.9038864374160767,0.9626020216267043,0.7990230371415139,0.894930899143219,0.9054675698280334,0.913023054599762,0.8859999775886536,0.11400000005960464,0.08697696030139923,0.41873955726623535,0.41873955726623535,0.0
0.9012345671653748,0.7551020383834839,0.9537489600665559,0.7756733569051582,0.6686747074127197,0.9698046445846558,0.8671875,0.9084858298301697,0.09151414036750793,0.1328125,0.5635668039321899,0.5635668039321899,0.0,9,649,,,,,,,,,,,,,
,,,,,,,,,,,,,9,649,0.9139810800552368,0.9187085032463074,0.9691263331602201,0.8262041720294142,0.9023841619491577,0.9275209903717041,0.9356343150138855,0.8905698657035828,0.10943015664815903,0.06436567008495331,0.40029430389404297,0.40029430389404297,0.0
