pca_mode,label_hypoth,sex_hypoth,age_hypoth,race_hypoth,label_pv,sex_pv,age_pv,race_pv
PCA Mode 1,True,False,True,False,0.0,1.0,0.0,0.8545803524
PCA Mode 2,True,True,True,True,0.0,0.0,0.0,3.4802e-06
PCA Mode 3,True,True,True,True,6e-10,1e-10,0.0002582585,0.0097022959
PCA Mode 4,True,True,True,True,0.0,0.0,0.0,3.2e-09
