pca_mode,label similarity,sex similarity,age similarity
PCA Mode 1,0.6447155785664728,0.10255733507908728,0.34717766802234534
PCA Mode 2,0.39822954921780823,0.13045863296655227,0.14158124915807088
PCA Mode 3,0.2518601017296213,0.04992523021016742,0.22845988433354222
PCA Mode 4,0.16881354521299802,0.23083151153459067,0.20249954935267422
