pca_mode,label_hypoth,sex_hypoth,age_hypoth,race_hypoth,label_pv,sex_pv,age_pv,race_pv
PCA Mode 1,True,False,True,False,0.0,1.0,0.0,1.0
PCA Mode 2,True,True,True,True,0.0,2.6e-09,0.0,7.4265e-06
PCA Mode 3,True,True,False,True,1.88e-08,0.0,1.0,1.3e-09
PCA Mode 4,True,False,True,True,0.0,0.7032429263,0.0,0.0041112809
