val/accuracy,val/f1,val/auc,val/youden,val/PPV,val/NPV,val/TPR,val/TNR,val/FPR,val/FNR,val/skintype_accuracy_group_0,val/skintype_accuracy_group_1,val/skintype_f1_group_0,val/skintype_f1_group_1,val/skintype_auc_group_0,val/skintype_auc_group_1,val/skintype_prevalence_group_0,val/skintype_prevalence_group_1,val/skintype_disease_prevalence_group_0,val/skintype_disease_prevalence_group_1,val/skintype_tpr_group_0,val/skintype_tpr_group_1,val/skintype_tnr_group_0,val/skintype_tnr_group_1,val/skintype_tpr_diff,val/skintype_youden_group_0,val/skintype_youden_group_1,val/skintype_dp,val/skintype_eq_odds,val/skintype_eq_opportunity,val/auc_gap,val/f1_gap,val/accuracy_gap,val/loss,epoch,step,train/accuracy,train/f1,train/auc,train/youden,train/PPV,train/NPV,train/TPR,train/TNR,train/FPR,train/FNR,train/skintype_accuracy_group_0,train/skintype_accuracy_group_1,train/skintype_f1_group_0,train/skintype_f1_group_1,train/skintype_auc_group_0,train/skintype_auc_group_1,train/skintype_prevalence_group_0,train/skintype_prevalence_group_1,train/skintype_disease_prevalence_group_0,train/skintype_disease_prevalence_group_1,train/skintype_tpr_group_0,train/skintype_tpr_group_1,train/skintype_tnr_group_0,train/skintype_tnr_group_1,train/skintype_tpr_diff,train/skintype_youden_group_0,train/skintype_youden_group_1,train/skintype_dp,train/skintype_eq_odds,train/skintype_eq_opportunity,train/auc_gap,train/f1_gap,train/accuracy_gap,train/loss
0.8542510271072388,0.2075471729040146,0.7449158967734688,0.10720283058605484,0.4177215099334717,0.875151515007019,0.1380753070116043,0.9691275358200073,0.030872482806444168,0.8619247078895569,0.8451043367385864,0.8778467774391174,0.24313725531101227,0.0634920671582222,0.7644044512966477,0.6553777083739996,0.7206477732793523,0.2793522267206478,0.15409309791332262,0.09730848861283643,0.1614583283662796,0.042553190141916275,0.9696394801139832,0.9678899049758911,0.11890514194965363,0.13109780202403543,0.010443099746242357,0.01743550375694977,0.11890514194965363,0.05678460930048619,0.10902674292264813,0.17964519560337067,0.0327424556016922,0.38952726125717163,0,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,200,0.8713404536247253,0.27079644799232483,0.784147709566189,0.15683557203614207,0.5645756721496582,0.8848944306373596,0.17811408638954163,0.9787214994430542,0.021278513595461845,0.8218859434127808,0.859039843082428,0.8984492421150208,0.28373703360557556,0.22813688218593597,0.786651148971505,0.7707964079532944,0.687875712389726,0.31212428761027405,0.14833730564067643,0.10280140070035018,0.18821729719638824,0.14598539471626282,0.9758795499801636,0.9846668243408203,0.04223189130425453,0.16409682242411283,0.13065225398285363,0.019697767394649547,0.04223189130425453,0.04553590494032625,0.015854741018210605,0.05560014024376869,0.03940938785672188,0.3295001685619354
0.9100562334060669,0.5471698045730591,0.8733584614155191,0.39080605204975893,0.8613861203193665,0.9133333563804626,0.40092167258262634,0.9898843765258789,0.01011560671031475,0.599078357219696,0.8995633125305176,0.9364035129547119,0.5490196347236633,0.5396825671195984,0.8744771624560816,0.8593133279264665,0.7151780137414117,0.2848219862585884,0.15021834061135372,0.09868421052631579,0.40697672963142395,0.3777777850627899,0.9866392612457275,0.9975669384002686,0.029198966920375824,0.3936160042066015,0.37534468775344676,0.033015398758905995,0.029198966920375824,0.05153413008503793,0.015163834529615117,0.009337068535387516,0.03684018924832344,0.2508319318294525,1,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,401,0.8953079581260681,0.4828384220600128,0.8625788783635515,0.34192654712013626,0.7154285907745361,0.9084967374801636,0.3643771708011627,0.9775493741035461,0.022450635209679604,0.6356227993965149,0.8863919973373413,0.9149574637413025,0.49874812364578247,0.42953020334243774,0.8593910842551915,0.8665137760919568,0.687875712389726,0.31212428761027405,0.14833730564067643,0.10280140070035018,0.3810252547264099,0.3114355206489563,0.9744136333465576,0.9841092824935913,0.06958972662687302,0.35543889471649304,0.2955448066381914,0.032038065338423384,0.06958972662687302,0.04553590494032625,0.0071226918367652825,0.06921792030334473,0.02856546826660633,0.27244606614112854
0.9019362926483154,0.4677966237068176,0.855987453717269,0.31146946005700427,0.8846153616905212,0.9028233885765076,0.3179723620414734,0.9934971332550049,0.006502890028059483,0.6820276379585266,0.8908296823501587,0.9298245906829834,0.4680851101875305,0.46666666865348816,0.8607997323071774,0.8290889429575561,0.7151780137414117,0.2848219862585884,0.15021834061135372,0.09868421052631579,0.31976744532585144,0.31111112236976624,0.9917780160903931,0.9975669384002686,0.008656330406665802,0.3115454480269606,0.30867802108678033,0.022127097219030112,0.008656330406665802,0.05153413008503793,0.03171078934962135,0.0014184396713972092,0.038994867354631424,0.2934267222881317,2,602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,602,0.9107658863067627,0.5823894739151001,0.9000783968459045,0.4438952956539346,0.7821393609046936,0.9218829274177551,0.4639115333557129,0.9799837470054626,0.020016228780150414,0.5360884666442871,0.9039836525917053,0.9257128834724426,0.5952153205871582,0.5409582853317261,0.8950949700073249,0.9100638491117901,0.687875712389726,0.31212428761027405,0.14833730564067643,0.10280140070035018,0.47589901089668274,0.4257907569408417,0.9785447716712952,0.9829941391944885,0.050108250230550766,0.4544437814751796,0.40878489978341626,0.02983667523240681,0.050108250230550766,0.04553590494032625,0.014968879104465205,0.054257042706012726,0.021729199215769768,0.2384973019361496
0.9063085317611694,0.503311276435852,0.8615114141871554,0.34372752457313327,0.8941176533699036,0.9069920778274536,0.3502304255962372,0.9934971332550049,0.006502890028059483,0.6497696042060852,0.8960698843002319,0.9320175647735596,0.5062240958213806,0.49180328845977783,0.852123616721241,0.8825628548256285,0.7151780137414117,0.2848219862585884,0.15021834061135372,0.09868421052631579,0.35465115308761597,0.3333333432674408,0.9917780160903931,0.9975669384002686,0.021317830309271812,0.346429168957193,0.3309002433090025,0.02517428943537884,0.021317830309271812,0.05153413008503793,0.030439238104387423,0.014420787803828716,0.03594767302274704,0.2827470600605011,3,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,803,0.9124053120613098,0.6054852604866028,0.9159874512565066,0.4772708975772342,0.7646536231040955,0.9266455769538879,0.5011641383171082,0.9761067628860474,0.023893246427178383,0.49883586168289185,0.9045511484146118,0.9297148585319519,0.614750325679779,0.5748865604400635,0.9118005719571343,0.9236032116516999,0.687875712389726,0.31212428761027405,0.14833730564067643,0.10280140070035018,0.5133894681930542,0.4622870981693268,0.9726812243461609,0.983272910118103,0.05110233649611473,0.48607067814278704,0.4455600346479618,0.03688991244004705,0.05110233649611473,0.04553590494032625,0.011802639694565631,0.03986380621790886,0.02516372874379158,0.222750723361969
0.9081823825836182,0.5476922988891602,0.8852421352654432,0.39640992514850426,0.8240740895271301,0.9142665863037109,0.41013824939727783,0.9862716794013977,0.013728323392570019,0.5898617506027222,0.8951964974403381,0.9407894611358643,0.5348837375640869,0.5970149040222168,0.8728040823155431,0.9173830765071641,0.7151780137414117,0.2848219862585884,0.15021834061135372,0.09868421052631579,0.4011628031730652,0.4444444477558136,0.9825282692909241,0.9951338171958923,0.04328165203332901,0.38369105380147706,0.4395782643957826,0.026863556270589145,0.04328165203332901,0.05153413008503793,0.044578994191621035,0.06213120371103287,0.04559296742081642,0.2801187336444855,4,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1004,0.9231009483337402,0.6637077331542969,0.9342302524495998,0.5442251522986523,0.8026424646377563,0.9356785416603088,0.565774142742157,0.9784510135650635,0.021549003198742867,0.434225857257843,0.9143116474151611,0.9424712061882019,0.6615867614746094,0.670487105846405,0.9271897630113723,0.9494219800211225,0.687875712389726,0.31212428761027405,0.14833730564067643,0.10280140070035018,0.5646518468856812,0.569343090057373,0.9752132296562195,0.9852244257926941,0.004691191017627716,0.5398650941380103,0.5545674872155941,0.03308302091120467,0.010011201724410057,0.04553590494032625,0.0222322170097502,0.008900373242795467,0.028159579262137413,0.19738061726093292
0.9106808304786682,0.5731343030929565,0.8772874990010922,0.42650035960682997,0.8135592937469482,0.9184086322784424,0.4423963129520416,0.9841040372848511,0.01589595340192318,0.557603657245636,0.9021834135055542,0.9320175647735596,0.5757575631141663,0.5633803009986877,0.8740409665622982,0.8680183833468506,0.7151780137414117,0.2848219862585884,0.15021834061135372,0.09868421052631579,0.44186046719551086,0.4444444477558136,0.9835560321807861,0.985401451587677,0.002583979396149516,0.4254164774492697,0.42984590429845904,0.02333180111851682,0.002583979396149516,0.05153413008503793,0.0060225832154476855,0.012377293780446053,0.029834138229489326,0.3030996322631836,5,1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1205,0.9330939054489136,0.7205738425254822,0.9516992928329496,0.6211899358560764,0.8191252946853638,0.946509599685669,0.6431897282600403,0.9780001640319824,0.021999819204211235,0.35681024193763733,0.927931010723114,0.9444722533226013,0.7312738299369812,0.6846590638160706,0.9505656151965064,0.9529912355851117,0.687875712389726,0.31212428761027405,0.14833730564067643,0.10280140070035018,0.661055862903595,0.5863747000694275,0.9744136333465576,0.9855031967163086,0.07468115538358688,0.6354694991541363,0.5718779018854923,0.04656354394425677,0.07468115538358688,0.04553590494032625,0.0024256203886052763,0.046614713966846466,0.016541240736842155,0.17049111425876617
0.9000624418258667,0.43661972880363464,0.8612017527503264,0.2821015689512798,0.9253731369972229,0.8989569544792175,0.2857142984867096,0.9963873028755188,0.003612716682255268,0.7142857313156128,0.8899563550949097,0.9254385828971863,0.44736841320991516,0.3928571343421936,0.8579614713544779,0.8576371992430386,0.7151780137414117,0.2848219862585884,0.15021834061135372,0.09868421052631579,0.29651162028312683,0.24444444477558136,0.9948612451553345,1.0,0.05206718295812607,0.2913728817610364,0.24444444444444446,0.024785489925687583,0.05206718295812607,0.05153413008503793,0.00032427211143926105,0.05451127886772156,0.035482265055179596,0.30471017956733704,6,1406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1406,0.9081115126609802,0.5642354488372803,0.9022155742172727,0.42361293265607025,0.7751780152320862,0.9191611409187317,0.44353899359703064,0.9800739288330078,0.01992606557905674,0.556460976600647,0.9002383351325989,0.9254627227783203,0.5772005915641785,0.520900309085846,0.8991544219007706,0.9063704632231694,0.687875712389726,0.31212428761027405,0.14833730564067643,0.10280140070035018,0.45906656980514526,0.39416059851646423,0.977078914642334,0.9863395690917969,0.06490597873926163,0.4361454559098703,0.3805001434620965,0.034841362345001806,0.06490597873926163,0.04553590494032625,0.007216041322398836,0.05630025640130043,0.025224393233656883,0.23659247159957886
0.9063085317611694,0.5161290168762207,0.8749300764497484,0.3592705308862312,0.8602150678634644,0.9091511964797974,0.36866360902786255,0.990606963634491,0.009393063373863697,0.6313363909721375,0.8951964974403381,0.9342105388641357,0.5161290168762207,0.5161290168762207,0.872750304739597,0.869316031359827,0.7151780137414117,0.2848219862585884,0.15021834061135372,0.09868421052631579,0.3720930218696594,0.35555556416511536,0.9876670241355896,0.9975669384002686,0.016537467017769814,0.359760032505557,0.3531224655312246,0.02909484409714242,0.016537467017769814,0.05153413008503793,0.003434273379769981,0.0,0.03901401907205582,0.28176289796829224,7,1607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
