tsne_dim,label_hypoth,sex_hypoth,age_hypoth,race_hypoth,label_pv,sex_pv,age_pv,race_pv
T-SNE 1,True,True,True,False,0.0,0.021963,0.0,0.188448
T-SNE 2,True,True,True,True,0.0,0.036543,0.0,0.028476
