pca_mode,label_hypoth,sex_hypoth,age_hypoth,label_pv,sex_pv,age_pv
PCA Mode 1,True,False,True,0.0,0.752712,0.0
PCA Mode 2,False,True,False,0.270738,0.032658,1.0
PCA Mode 3,False,True,True,0.072838,0.038632,0.032658
PCA Mode 4,False,False,False,1.0,1.0,0.270738
