val/accuracy,val/f1,val/auc,val/youden,val/PPV,val/NPV,val/TPR,val/TNR,val/FPR,val/FNR,val/age_accuracy_group_0,val/age_accuracy_group_1,val/age_f1_group_0,val/age_f1_group_1,val/age_auc_group_0,val/age_auc_group_1,val/age_prevalence_group_0,val/age_prevalence_group_1,val/age_disease_prevalence_group_0,val/age_disease_prevalence_group_1,val/age_tpr_group_0,val/age_tpr_group_1,val/age_tnr_group_0,val/age_tnr_group_1,val/age_tpr_diff,val/age_youden_group_0,val/age_youden_group_1,val/age_dp,val/age_eq_odds,val/age_eq_opportunity,val/sex_accuracy_group_0,val/sex_accuracy_group_1,val/sex_f1_group_0,val/sex_f1_group_1,val/sex_auc_group_0,val/sex_auc_group_1,val/sex_prevalence_group_0,val/sex_prevalence_group_1,val/sex_disease_prevalence_group_0,val/sex_disease_prevalence_group_1,val/sex_tpr_group_0,val/sex_tpr_group_1,val/sex_tnr_group_0,val/sex_tnr_group_1,val/sex_tpr_diff,val/sex_youden_group_0,val/sex_youden_group_1,val/sex_dp,val/sex_eq_odds,val/sex_eq_opportunity,val/auc_gap,val/f1_gap,val/accuracy_gap,val/loss,val/primary_loss,val/fair_loss,epoch,step,train/accuracy,train/f1,train/auc,train/youden,train/PPV,train/NPV,train/TPR,train/TNR,train/FPR,train/FNR,train/age_accuracy_group_0,train/age_accuracy_group_1,train/age_f1_group_0,train/age_f1_group_1,train/age_auc_group_0,train/age_auc_group_1,train/age_prevalence_group_0,train/age_prevalence_group_1,train/age_disease_prevalence_group_0,train/age_disease_prevalence_group_1,train/age_tpr_group_0,train/age_tpr_group_1,train/age_tnr_group_0,train/age_tnr_group_1,train/age_tpr_diff,train/age_youden_group_0,train/age_youden_group_1,train/age_dp,train/age_eq_odds,train/age_eq_opportunity,train/sex_accuracy_group_0,train/sex_accuracy_group_1,train/sex_f1_group_0,train/sex_f1_group_1,train/sex_auc_group_0,train/sex_auc_group_1,train/sex_prevalence_group_0,train/sex_prevalence_group_1,train/sex_disease_prevalence_group_0,train/sex_disease_prevalence_group_1,train/sex_tpr_group_0,train/sex_tpr_group_1,train/sex_tnr_group_0,train/sex_tnr_group_1,train/sex_tpr_diff,train/sex_youden_group_0,train/sex_youden_group_1,train/sex_dp,train/sex_eq_odds,train/sex_eq_opportunity,train/auc_gap,train/f1_gap,train/accuracy_gap,train/loss,train/primary_loss,train/fair_loss
0.8422648906707764,0.6372092962265015,0.9246731763018051,0.670987717577479,0.5189393758773804,0.9599999785423279,0.8253012299537659,0.8456864953041077,0.15431348979473114,0.17469879984855652,0.8662704229354858,0.7911392450332642,0.5408163070678711,0.7179487347602844,0.9308234955369997,0.8928117497528597,0.6804853387259858,0.3195146612740142,0.1025260029717682,0.3069620253164557,0.7681159377098083,0.8659793734550476,0.8774834275245667,0.7579908967018127,0.09786343574523926,0.6455993857375948,0.6239702490232077,0.24483702296537324,0.11949257552623749,0.20443602234468752,0.8221797347068787,0.8648068904876709,0.6593406796455383,0.5987260937690735,0.929869653020011,0.9150431172149474,0.5288169868554095,0.4711830131445905,0.1988527724665392,0.13304721030042918,0.8653846383094788,0.7580645084381104,0.8114558458328247,0.8811880946159363,0.10732010006904602,0.6768404626399853,0.6392526349409136,0.11927309431392019,0.10732010006904602,0.06973227113485336,0.038011745784140016,0.17713239789009094,0.07513119280338287,0.4170818328857422,0.4170818328857422,0.0,0,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,124,0.8115978240966797,0.8187854886054993,0.8965902728568227,0.6227253843638789,0.7937734127044678,0.8322057127952576,0.8454250693321228,0.7773002982139587,0.22269970178604126,0.154574915766716,0.8159183859825134,0.8046951293945312,0.7696629166603088,0.8628348708152771,0.904540867259439,0.8469638893481843,0.6150370277394251,0.38496297226057485,0.38387755102040816,0.6944897293772416,0.8011695742607117,0.8845070600509644,0.8251076340675354,0.6232657432556152,0.0833374485373497,0.6262772421835199,0.5077727839824433,0.3140711191551939,0.20184190571308136,0.31061217835683347,0.814088761806488,0.8081203103065491,0.8392624258995056,0.7810569405555725,0.8913498172179406,0.8978283201417566,0.582653445462533,0.41734655453746705,0.5521327014218009,0.43548872180451126,0.8790479898452759,0.7859116196632385,0.7340067625045776,0.8252530694007874,0.09313638508319855,0.6130547246427076,0.6111646656089857,0.16357857159054462,0.09313638508319855,0.11664397961728967,0.05757697791125471,0.09317197650671005,0.011223225854337215,0.43942952156066895,0.43942952156066895,0.0
0.8766430616378784,0.6573033928871155,0.9161091510635495,0.6161193986151166,0.6157894730567932,0.9386733174324036,0.7048192620277405,0.9113001227378845,0.08869987726211548,0.29518070816993713,0.8989598751068115,0.8291139006614685,0.54666668176651,0.737864077091217,0.9136433438909684,0.8959186555571247,0.6804853387259858,0.3195146612740142,0.1025260029717682,0.3069620253164557,0.5942028760910034,0.7835051417350769,0.9337748289108276,0.8493150472640991,0.1893022507429123,0.5279777329878108,0.6328202231323259,0.22458009667650985,0.1893022507429123,0.20443602234468752,0.866156816482544,0.8884119987487793,0.7008547186851501,0.5737704634666443,0.9317514228015421,0.8901309485787288,0.5288169868554095,0.4711830131445905,0.1988527724665392,0.13304721030042918,0.7884615659713745,0.5645161271095276,0.8854415416717529,0.9381188154220581,0.22394540905952454,0.6739030659078391,0.5026349409134463,0.11981060077630706,0.22394540905952454,0.06580556216611003,0.04162047422281334,0.19119741022586823,0.06984595954418182,0.3213776648044586,0.3213776648044586,0.0,1,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,249,0.8447345495223999,0.8470005989074707,0.9285850203399149,0.6909617892063524,0.817183792591095,0.8752978444099426,0.8790757656097412,0.8118860721588135,0.18811394274234772,0.12092426419258118,0.8545089960098267,0.8283506631851196,0.8156424760818481,0.8767784237861633,0.9386371419060328,0.8851127714831108,0.6263336262081084,0.37366637379189155,0.3795591182364729,0.6721531743365805,0.8479408621788025,0.908545732498169,0.8585271239280701,0.6639344096183777,0.06060486286878586,0.706467997675237,0.57248015336594,0.31124068762314683,0.1945926994085312,0.2925940561001076,0.842492401599884,0.8478325605392456,0.859622061252594,0.8244222402572632,0.9241733476313849,0.9316542000639237,0.58014309024727,0.41985690975273,0.5350497620077889,0.42511210762331836,0.9013344049453735,0.8403657078742981,0.7747789621353149,0.8533541560173035,0.060968730598688126,0.6761133786071518,0.6937198163032008,0.14542077630931294,0.07857516407966614,0.1099376543844705,0.05352437042292191,0.06113593652844429,0.026158329099416733,0.27468639612197876,0.27468639612197876,0.0
0.8685541152954102,0.668367326259613,0.922799338300956,0.6737252777818443,0.5796459913253784,0.9541284441947937,0.7891566157341003,0.8845686316490173,0.11543134599924088,0.21084336936473846,0.9078751802444458,0.7848101258277893,0.6219512224197388,0.7017543911933899,0.9299356944044535,0.886833309796168,0.6804853387259858,0.3195146612740142,0.1025260029717682,0.3069620253164557,0.739130437374115,0.8247422575950623,0.9271523356437683,0.767123281955719,0.08561183512210846,0.6662827526634034,0.5918655557124699,0.27339797242650515,0.16002902388572693,0.20443602234468752,0.8527724742889404,0.8862661123275757,0.695652186870575,0.6187050342559814,0.9295942720763724,0.9049025870328968,0.5288169868554095,0.4711830131445905,0.1988527724665392,0.13304721030042918,0.8461538553237915,0.6935483813285828,0.8544152975082397,0.9158415794372559,0.15260545909404755,0.7005691206168532,0.6093899712551902,0.11965878597395352,0.15260545909404755,0.06580556216611003,0.043102384608285416,0.08304934948682785,0.12306506186723709,0.31150728464126587,0.31150728464126587,0.0,2,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,374,0.8693360090255737,0.8723169565200806,0.9424962497444584,0.7386214940372764,0.853781521320343,0.8863756060600281,0.8916749954223633,0.8469464778900146,0.15305353701114655,0.10832497477531433,0.8774735331535339,0.8556005358695984,0.8456308245658875,0.8976566195487976,0.9492604899001155,0.9085327522913542,0.6279653570980294,0.37203464290197064,0.3843693783729762,0.696693657219973,0.8731149435043335,0.9089588522911072,0.8801947832107544,0.7330366969108582,0.03584391251206398,0.753309729791789,0.6419955452251223,0.3048831295015164,0.14715810120105743,0.3123242788469968,0.8631374835968018,0.8780120611190796,0.8805409669876099,0.8568398952484131,0.9341747242739147,0.9494209077156275,0.5832810342663487,0.4167189657336513,0.5564880568108457,0.422289156626506,0.9064191579818726,0.8644793033599854,0.8088306784629822,0.8879040479660034,0.0419398657977581,0.715249844926944,0.7523833820000922,0.1593780545033588,0.07907339930534363,0.13419890018433966,0.040888155424273265,0.052025798708200455,0.022411508485674858,0.22285374999046326,0.22285374999046326,0.0
0.9039433598518372,0.6822742223739624,0.9284135326238124,0.5767907596363582,0.7669172883033752,0.9252336621284485,0.6144578456878662,0.9623329043388367,0.03766707330942154,0.3855421543121338,0.9316493272781372,0.844936728477478,0.5892857313156128,0.7379679083824158,0.91911411843747,0.9120651508732288,0.6804853387259858,0.3195146612740142,0.1025260029717682,0.3069620253164557,0.47826087474823,0.7113401889801025,0.9834437370300293,0.9041095972061157,0.23307934403419495,0.46170457817448884,0.6154497952266629,0.2209171102375534,0.23307934403419495,0.20443602234468752,0.8929254412651062,0.9163089990615845,0.7171717286109924,0.6138613820075989,0.9369148154947678,0.908854998403066,0.5288169868554095,0.4711830131445905,0.1988527724665392,0.13304721030042918,0.682692289352417,0.5,0.9451074004173279,0.9801980257034302,0.18269230425357819,0.6277997062603267,0.4801980198019802,0.09604132645106231,0.18269230425357819,0.06580556216611003,0.0280598170917018,0.14868220686912537,0.08671262115240097,0.27753549814224243,0.27753549814224243,0.0,3,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,499,0.8810091614723206,0.8848676085472107,0.9511432558926393,0.7614310146759262,0.8682078123092651,0.8952532410621643,0.9021793007850647,0.8592517375946045,0.1407482773065567,0.0978207066655159,0.8939793109893799,0.8599209189414978,0.8691518902778625,0.8996931910514832,0.9612115927150235,0.9169507020911203,0.619179113844609,0.380820886155391,0.39610784512467057,0.6868820039551747,0.8889457583427429,0.9145873188972473,0.8972809910774231,0.7400000095367432,0.025641579180955887,0.7862267190703398,0.6545873320537428,0.2954746537017257,0.15728096663951874,0.29077415883050417,0.87478107213974,0.8893792033195496,0.8905891180038452,0.8749168515205383,0.9443365676916092,0.9577240739515483,0.57336513116606,0.42663486883394003,0.5593257443082311,0.4363047955280965,0.9111546277999878,0.8867161273956299,0.8286139965057373,0.8914405107498169,0.024438483640551567,0.7397686077677095,0.7781566170249605,0.13708465557759075,0.0628264918923378,0.12302094878013464,0.04426089062390326,0.0305413156747818,0.034058425575494766,0.2021716982126236,0.2021716982126236,0.0
0.8867542743682861,0.6725146174430847,0.9260126776852246,0.618652007788139,0.6534090638160706,0.937269389629364,0.6927710771560669,0.9258809089660645,0.07411907613277435,0.3072289228439331,0.9063892960548401,0.844936728477478,0.540145993232727,0.7609755992889404,0.9188021883098186,0.9127712658287436,0.6804853387259858,0.3195146612740142,0.1025260029717682,0.3069620253164557,0.5362318754196167,0.8041236996650696,0.9486755132675171,0.8630136847496033,0.2678918242454529,0.4849073807467128,0.6671374099703433,0.24073203302800608,0.2678918242454529,0.20443602234468752,0.8871892690658569,0.8862661123275757,0.7400881052017212,0.539130449295044,0.9392326051037269,0.9041839667837752,0.5288169868554095,0.4711830131445905,0.1988527724665392,0.13304721030042918,0.807692289352417,0.5,0.9069212675094604,0.9455445408821106,0.3076923191547394,0.714613548742427,0.4455445544554455,0.12144773878006548,0.3076923191547394,0.06580556216611003,0.03504863831995164,0.22184517979621887,0.06145259365439415,0.23540976643562317,0.23540976643562317,0.0,4,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,624,0.8918036818504333,0.89412921667099,0.9572418070697538,0.7839124297648454,0.8706051111221313,0.915213942527771,0.9189598560333252,0.864952564239502,0.13504743576049805,0.0810401439666748,0.9024975299835205,0.8737339377403259,0.8770161271095276,0.9103977084159851,0.9667028672624597,0.9216329057658117,0.6282163926195556,0.37178360738044436,0.3854145854145854,0.6860229574611749,0.9020217657089233,0.9350393414497375,0.9027958512306213,0.7397849559783936,0.033017598092556,0.8048176116909724,0.6748243163152994,0.3157674196161705,0.16301089525222778,0.3006083720465895,0.8920208215713501,0.891505241394043,0.9026963710784912,0.8796296119689941,0.9550576698388483,0.958961080911931,0.5788879126396385,0.4211120873603615,0.5385949696444059,0.4402384500745157,0.9299516677856445,0.900473952293396,0.847744345664978,0.8844515681266785,0.029477756470441818,0.7776960517235119,0.7849254778452424,0.11001598887370861,0.036707181483507156,0.09835651956989022,0.04506996149664799,0.033381570130586624,0.028763538226485252,0.17630775272846222,0.17630775272846222,0.0
