,model_name,model_id,teacher_name,teacher_id,seed,sampling_technique,distillation_technique,accuracy,f1,auc,youden,PPV,NPV,TPR,TNR,FPR,FNR,age_accuracy_group_0,age_accuracy_group_1,age_f1_group_0,age_f1_group_1,age_auc_group_0,age_auc_group_1,age_prevalence_group_0,age_prevalence_group_1,age_disease_prevalence_group_0,age_disease_prevalence_group_1,age_tpr_group_0,age_tpr_group_1,age_tnr_group_0,age_tnr_group_1,age_tpr_diff,age_youden_group_0,age_youden_group_1,age_dp,age_eq_odds,age_eq_opportunity,sex_accuracy_group_0,sex_accuracy_group_1,sex_f1_group_0,sex_f1_group_1,sex_auc_group_0,sex_auc_group_1,sex_prevalence_group_0,sex_prevalence_group_1,sex_disease_prevalence_group_0,sex_disease_prevalence_group_1,sex_tpr_group_0,sex_tpr_group_1,sex_tnr_group_0,sex_tnr_group_1,sex_tpr_diff,sex_youden_group_0,sex_youden_group_1,sex_dp,sex_eq_odds,sex_eq_opportunity,auc_gap,f1_gap,accuracy_gap,primary_loss,fair_loss,data
0,resnet34,r34-sam1-s43,,,43,1,0,0.873253493013972,0.5942492012779552,0.8944572120493242,0.5678206934045025,0.5406976744186046,0.9421686746987952,0.6595744680851063,0.908246225319396,0.0917537746806039,0.3404255319148936,0.921161825726141,0.7491039426523297,0.6369426751592356,0.5512820512820512,0.9225333625027348,0.8091820151679306,0.7215568862275449,0.278443113772455,0.0968188105117565,0.2544802867383512,0.7142857142857143,0.6056338028169014,0.9433384379785604,0.7980769230769231,0.1086519114688129,0.6576241522642747,0.4037107258938244,0.1843275480004164,0.1452615149016374,0.1576614762265947,0.85451197053407,0.8954248366013072,0.572972972972973,0.625,0.885202968136185,0.9047696432924353,0.5419161676646707,0.4580838323353293,0.14548802946593,0.1350762527233115,0.6708860759493671,0.6451612903225806,0.8857758620689655,0.9345088161209067,0.0257247856267864,0.5566619380183326,0.5796701064434875,0.0514209366988047,0.0487329540519412,0.0487329540519412,0.113351347334804,0.0856606238771844,0.1720578830738113,0.3559509217739105,0.0,Reverse Upsample
0,resnet34,r34-sam1-s42,,,42,1,0,0.8612774451097804,0.5696594427244582,0.8827645571288539,0.5479526527788074,0.5054945054945055,0.9402439024390244,0.6524822695035462,0.8954703832752613,0.1045296167247387,0.3475177304964538,0.9045643153526972,0.7491039426523297,0.5766871165644173,0.5625,0.914066943775979,0.7958423618634887,0.7215568862275449,0.278443113772455,0.0968188105117565,0.2544802867383512,0.6714285714285714,0.6338028169014085,0.9295558958652372,0.7884615384615384,0.0376257545271628,0.6009844672938087,0.4222643553629468,0.1903657103764184,0.1410943574036989,0.1576614762265947,0.8471454880294659,0.8779956427015251,0.5363128491620112,0.6111111111111112,0.8661065037101703,0.9019460469651418,0.5419161676646707,0.4580838323353293,0.14548802946593,0.1350762527233115,0.6075949367088608,0.7096774193548387,0.8879310344827587,0.9042821158690176,0.1020824826459779,0.4955259711916193,0.6139595352238563,0.0055128251423343,0.1020824826459779,0.0163510813862589,0.1182245819124903,0.0747982619491,0.1554603727003674,0.3936183452606201,0.0,Reverse Upsample
0,resnet34,r34-sam1-s45,,,45,1,0,0.8562874251497006,0.5135135135135135,0.8733618339222906,0.4472533175179776,0.4903225806451612,0.923258559622196,0.5390070921985816,0.908246225319396,0.0917537746806039,0.4609929078014184,0.9017980636237898,0.7383512544802867,0.5298013245033113,0.496551724137931,0.9149857799168672,0.7606988082340196,0.7215568862275449,0.278443113772455,0.0968188105117565,0.2544802867383512,0.5714285714285714,0.5070422535211268,0.9372128637059725,0.8173076923076923,0.0643863179074446,0.5086414351345439,0.324349945828819,0.1531997798896474,0.1199051713982801,0.1576614762265947,0.848987108655617,0.8649237472766884,0.5287356321839081,0.4918032786885246,0.87685508511567,0.8682457138214025,0.5419161676646707,0.4580838323353293,0.14548802946593,0.1350762527233115,0.5822784810126582,0.4838709677419355,0.8943965517241379,0.924433249370277,0.0984075132707227,0.4766750327367961,0.4083042171122124,0.0442350052359802,0.0984075132707227,0.0300366976461391,0.1542869716828476,0.0379980458147867,0.163446809143503,0.3269563317298889,0.0,Reverse Upsample
0,resnet50,r50-sam1-s44,,,44,1,0,0.845309381237525,0.5682451253481895,0.8947290384757951,0.5886771937628192,0.4678899082568807,0.9502551020408164,0.723404255319149,0.8652729384436701,0.1347270615563298,0.276595744680851,0.8907330567081605,0.7275985663082437,0.5536723163841808,0.5824175824175825,0.9152701815795232,0.8283450704225352,0.7215568862275449,0.278443113772455,0.0968188105117565,0.2544802867383512,0.7,0.7464788732394366,0.9111791730474732,0.7211538461538461,0.0464788732394366,0.6111791730474732,0.4676327193932827,0.2498549948690492,0.190025326893627,0.190025326893627,0.8379373848987108,0.8540305010893247,0.5686274509803921,0.567741935483871,0.8908227848101266,0.8993255870642723,0.5419161676646707,0.4580838323353293,0.14548802946593,0.1350762527233115,0.7341772151898734,0.7096774193548387,0.8556034482758621,0.8765743073047859,0.0244997958350347,0.5897806634657354,0.5862517266596248,0.0275881991839092,0.0244997958350347,0.0209708590289238,0.0869251111569878,0.0287452660334016,0.1631344903999168,0.364511638879776,0.0,Reverse Upsample
0,resnet50,r50-sam1-s46,,,46,1,0,0.8652694610778443,0.5714285714285714,0.8950997108755282,0.5407368967306696,0.5172413793103449,0.9384057971014492,0.6382978723404256,0.902439024390244,0.097560975609756,0.3617021276595744,0.9017980636237898,0.7706093189964157,0.5419354838709677,0.6,0.9113760665062348,0.8273970747562297,0.7215568862275449,0.278443113772455,0.0968188105117565,0.2544802867383512,0.6,0.676056338028169,0.9341500765696784,0.8028846153846154,0.076056338028169,0.5341500765696785,0.4789409534127844,0.2014307172920477,0.131265461185063,0.1576614762265947,0.85451197053407,0.8779956427015251,0.582010582010582,0.5555555555555557,0.9044358358795286,0.8818558543918096,0.5419161676646707,0.4580838323353293,0.14548802946593,0.1350762527233115,0.6962025316455697,0.5645161290322581,0.8814655172413793,0.9269521410579346,0.1316864026133115,0.577668048886949,0.4914682700901926,0.0631447176783543,0.1316864026133115,0.0454866238165552,0.0839789917500052,0.0580645161290322,0.131188744627374,0.3189164996147156,0.0,Reverse Upsample
0,resnet50,r50-sam1-s42,,,42,1,0,0.8662674650698603,0.5705128205128205,0.8960222732926417,0.53596757852077,0.52046783625731,0.937424789410349,0.6312056737588653,0.9047619047619048,0.0952380952380952,0.3687943262411347,0.9059474412171508,0.7634408602150538,0.5526315789473684,0.5875,0.9100415663968496,0.8354550379198266,0.7215568862275449,0.278443113772455,0.0968188105117565,0.2544802867383512,0.6,0.6619718309859155,0.9387442572741196,0.7980769230769231,0.0619718309859155,0.5387442572741195,0.4600487540628386,0.2055800948854088,0.1406673341971963,0.1576614762265947,0.850828729281768,0.8845315904139434,0.547486033519553,0.6015037593984963,0.880974465298996,0.9141951734785082,0.5419161676646707,0.4580838323353293,0.14548802946593,0.1350762527233115,0.620253164556962,0.6451612903225806,0.8900862068965517,0.9219143576826196,0.0249081257656186,0.5103393714535138,0.5670756480052002,0.0294779667545348,0.0318281507860679,0.0318281507860679,0.0787401355586816,0.0540177258789432,0.142506581002097,0.3784913420677185,0.0,Reverse Upsample
0,resnet50,r50-sam1-s45,,,45,1,0,0.8582834331337326,0.4855072463768116,0.8690867455787019,0.3961993723280699,0.4962962962962963,0.9146482122260668,0.475177304964539,0.9210220673635308,0.0789779326364692,0.524822695035461,0.9045643153526972,0.7383512544802867,0.4390243902439024,0.522875816993464,0.8923649092102385,0.7823672806067173,0.7215568862275449,0.278443113772455,0.0968188105117565,0.2544802867383512,0.3857142857142857,0.5633802816901409,0.9601837672281776,0.7980769230769231,0.1776659959758551,0.3458980529424633,0.3614572047670639,0.220601139219798,0.1776659959758551,0.1621068441512545,0.8416206261510129,0.8779956427015251,0.4487179487179487,0.5333333333333333,0.860568529026626,0.8727959697732998,0.5419161676646707,0.4580838323353293,0.14548802946593,0.1350762527233115,0.4430379746835443,0.5161290322580645,0.9094827586206896,0.9345088161209067,0.0730910575745202,0.3525207333042339,0.4506378483789712,0.0154431324402075,0.0730910575745202,0.0250260575002171,0.1099976286035211,0.0943089430894309,0.1662130608724104,0.3265182971954345,0.0,Reverse Upsample
0,resnet50,r50-sam1-s43,,,43,1,0,0.8413173652694611,0.5417867435158501,0.8860305928287247,0.5365853658536586,0.4563106796116505,0.9409547738693468,0.6666666666666666,0.8699186991869918,0.1300813008130081,0.3333333333333333,0.8948824343015215,0.7025089605734767,0.5365853658536586,0.546448087431694,0.9044629183985998,0.8169014084507042,0.7215568862275449,0.278443113772455,0.0968188105117565,0.2544802867383512,0.6285714285714286,0.704225352112676,0.9234303215926492,0.7019230769230769,0.0756539235412474,0.5520017501640777,0.4061484290357529,0.2714198604976279,0.2215072446695724,0.2215072446695724,0.8268876611418048,0.8583877995642701,0.5346534653465347,0.5517241379310345,0.8793649061545177,0.890996993580889,0.5419161676646707,0.4580838323353293,0.14548802946593,0.1350762527233115,0.6835443037974683,0.6451612903225806,0.8512931034482759,0.8916876574307305,0.0383830134748877,0.5348374072457442,0.5368489477533112,0.0456914503063349,0.0403945539824546,0.0403945539824546,0.0875615099478955,0.0170706725844997,0.1923734737280448,0.3944723010063171,0.0,Reverse Upsample
0,resnet101,r101-sam1-s44,,,44,1,0,0.8542914171656687,0.5548780487804879,0.8867801747926294,0.5338918130822647,0.4866310160427807,0.9386503067484664,0.6453900709219859,0.8885017421602788,0.1114982578397212,0.3546099290780141,0.8865836791147994,0.7706093189964157,0.4938271604938271,0.6144578313253012,0.9050754758258588,0.8143959913326111,0.7215568862275449,0.278443113772455,0.0968188105117565,0.2544802867383512,0.5714285714285714,0.7183098591549296,0.9203675344563552,0.7884615384615384,0.1468812877263582,0.4917961058849267,0.5067713976164681,0.2132542125849581,0.1468812877263582,0.1576614762265947,0.8342541436464088,0.8779956427015251,0.5408163265306123,0.5757575757575757,0.8779735923177652,0.8976598683675957,0.5419161676646707,0.4580838323353293,0.14548802946593,0.1350762527233115,0.6708860759493671,0.6129032258064516,0.8620689655172413,0.9193954659949622,0.0579828501429154,0.5329550414666084,0.5322986918014139,0.0629641666365748,0.0579828501429154,0.0573265004777209,0.0906794844932475,0.120630670831474,0.1159743601183836,0.3795501589775085,0.0,Reverse Upsample
0,resnet101,r101-sam1-s43,,,43,1,0,0.8602794411177644,0.5679012345679012,0.895626889399593,0.546791212592977,0.5027322404371585,0.9401709401709402,0.6524822695035462,0.8943089430894309,0.1056910569105691,0.3475177304964538,0.8907330567081605,0.7813620071684588,0.5212121212121212,0.6163522012578616,0.9101947057536643,0.8454767063921993,0.7215568862275449,0.278443113772455,0.0968188105117565,0.2544802867383512,0.6142857142857143,0.6901408450704225,0.9203675344563552,0.8125,0.0758551307847081,0.5346532487420697,0.5026408450704225,0.1840152292568301,0.1078675344563553,0.1576614762265947,0.850828729281768,0.8714596949891068,0.5668449197860963,0.5693430656934307,0.8965790048013967,0.894409685544812,0.5419161676646707,0.4580838323353293,0.14548802946593,0.1350762527233115,0.6708860759493671,0.6290322580645161,0.8814655172413793,0.9093198992443324,0.0418538178848509,0.5523515931907466,0.5383521573088488,0.0354963348138518,0.0418538178848509,0.0278543820029532,0.0647179993614651,0.0951400800457403,0.1093710495397016,0.3551631569862366,0.0,Reverse Upsample
