val/accuracy,val/f1,val/auc,val/youden,val/PPV,val/NPV,val/TPR,val/TNR,val/FPR,val/FNR,val/loss,val/primary_loss,val/fair_loss,epoch,step,train/accuracy,train/f1,train/auc,train/youden,train/PPV,train/NPV,train/TPR,train/TNR,train/FPR,train/FNR,train/loss,train/primary_loss,train/fair_loss
0.6174069046974182,0.737173318862915,0.8419153885017587,0.4732686386471312,0.9803493618965149,0.17861856520175934,0.5906599164009094,0.8826087117195129,0.11739130318164825,0.4093400537967682,0.7624121308326721,0.7624121308326721,0.0,0,444,,,,,,,,,,,,,
,,,,,,,,,,,,,0,444,0.745140790939331,0.7428632378578186,0.8167889398849024,0.49028598535482737,0.749749481678009,0.7406947016716003,0.7361023426055908,0.7541836500167847,0.24581633508205414,0.26389768719673157,0.5271358489990234,0.5271358489990234,0.0
0.5048795342445374,0.6289552450180054,0.8440178069263986,0.3923948790787679,0.9850397109985352,0.1485079824924469,0.461960107088089,0.9304347634315491,0.06956521421670914,0.5380399227142334,0.9640614986419678,0.9640614986419678,0.0,1,889,,,,,,,,,,,,,
,,,,,,,,,,,,,1,889,0.7723454236984253,0.765487551689148,0.8517287902478803,0.5442431453321643,0.7804355621337891,0.7649939656257629,0.7511013150215149,0.7931418418884277,0.20685817301273346,0.2488986849784851,0.4782320559024811,0.4782320559024811,0.0
0.6190001964569092,0.7384110689163208,0.8426763295615951,0.4789319657207134,0.9811046719551086,0.1798148900270462,0.5919754505157471,0.886956512928009,0.11304347962141037,0.40802454948425293,0.7820358872413635,0.7820358872413635,0.0,2,1334,,,,,,,,,,,,,
,,,,,,,,,,,,,2,1334,0.7860883474349976,0.7851747274398804,0.8643290460377128,0.572531049657607,0.7986500263214111,0.7740447521209717,0.7721466422080994,0.8003844022750854,0.19961558282375336,0.22785337269306183,0.4594631493091583,0.4594631493091583,0.0
0.6494722366333008,0.7648316621780396,0.8413496277513512,0.49488527496830415,0.9791310429573059,0.19018112123012543,0.6274939775466919,0.8673912882804871,0.13260869681835175,0.3725060224533081,0.7196276187896729,0.7196276187896729,0.0,3,1779,,,,,,,,,,,,,
,,,,,,,,,,,,,3,1779,0.7998312711715698,0.7934723496437073,0.875112149582588,0.5995226415651902,0.8173938989639282,0.7842304110527039,0.7709111571311951,0.8286114931106567,0.17138849198818207,0.22908885776996613,0.43983250856399536,0.43983250856399536,0.0
0.7024497389793396,0.8077715039253235,0.8466030523435936,0.5317045270392649,0.9775770902633667,0.2143646478652954,0.6882262825965881,0.843478262424469,0.156521737575531,0.31177374720573425,0.6957284808158875,0.6957284808158875,0.0,4,2224,,,,,,,,,,,,,
,,,,,,,,,,,,,4,2224,0.8112192749977112,0.8058136701583862,0.8886852013354771,0.622619394873305,0.8322007060050964,0.7925630807876587,0.7810484766960144,0.8415709137916565,0.1584291011095047,0.2189514935016632,0.416045218706131,0.416045218706131,0.0
0.6297550201416016,0.7480005621910095,0.8334275473532692,0.4809981602051421,0.9797585010528564,0.18276643753051758,0.604911208152771,0.876086950302124,0.12391304224729538,0.395088791847229,0.8665285110473633,0.8665285110473633,0.0,5,2669,,,,,,,,,,,,,
,,,,,,,,,,,,,5,2669,0.8203929662704468,0.8131490349769592,0.896317862066297,0.6405594168534969,0.8444596529006958,0.799659788608551,0.7840772867202759,0.8564821481704712,0.14351786673069,0.21592271327972412,0.3997928202152252,0.3997928202152252,0.0
0.5853415727615356,0.7080762982368469,0.8237991287189118,0.4536066652049988,0.9821081161499023,0.16897958517074585,0.5536066889762878,0.8999999761581421,0.10000000149011612,0.44639334082603455,0.8893460631370544,0.8893460631370544,0.0,6,3114,,,,,,,,,,,,,
