val/accuracy,val/f1,val/auc,val/youden,val/PPV,val/NPV,val/TPR,val/TNR,val/FPR,val/FNR,val/loss,val/primary_loss,val/fair_loss,epoch,step,train/accuracy,train/f1,train/auc,train/youden,train/PPV,train/NPV,train/TPR,train/TNR,train/FPR,train/FNR,train/loss,train/primary_loss,train/fair_loss
0.7215321063995361,0.36705881357192993,0.905026920687513,0.5913750258852764,0.231453999876976,0.9841017723083496,0.8863636255264282,0.7050113677978516,0.29498860239982605,0.11363636702299118,0.7200890779495239,0.7200890779495239,0.0,0,85,,,,,,,,,,,,,
,,,,,,,,,,,,,0,85,0.8140767812728882,0.8206665515899658,0.8955223541365848,0.6289614417883309,0.7858831286430359,0.8473495244979858,0.8586716055870056,0.7702898383140564,0.2297101467847824,0.14132840931415558,0.39909037947654724,0.39909037947654724,0.0
0.8333333134651184,0.4823151230812073,0.9134655208117622,0.6837078069993787,0.3363228738307953,0.982503354549408,0.8522727489471436,0.8314350843429565,0.16856491565704346,0.14772726595401764,0.3763575553894043,0.3763575553894043,0.0,1,171,,,,,,,,,,,,,
,,,,,,,,,,,,,1,171,0.8782449960708618,0.8798701167106628,0.9455205730214222,0.7565332733350099,0.8670458793640137,0.8901016116142273,0.8930794596672058,0.8634538054466248,0.13654617965221405,0.10692054033279419,0.293117880821228,0.293117880821228,0.0
0.9409937858581543,0.6459627151489258,0.9046904120936011,0.5669910954648996,0.7123287916183472,0.9596864581108093,0.5909090638160706,0.9760820269584656,0.023917995393276215,0.40909090638160706,0.174900084733963,0.174900084733963,0.0,2,257,,,,,,,,,,,,,
,,,,,,,,,,,,,2,257,0.8937842845916748,0.8969675302505493,0.9612127897842181,0.7870470841899415,0.8830307126045227,0.9056024551391602,0.9113513231277466,0.8756957054138184,0.12430426478385925,0.08864864706993103,0.24746912717819214,0.24746912717819214,0.0
0.8737059831619263,0.5514705777168274,0.9229524746324291,0.7281269413957341,0.40760868787765503,0.9833759665489197,0.8522727489471436,0.8758541941642761,0.12414578348398209,0.14772726595401764,0.31678226590156555,0.31678226590156555,0.0,3,343,,,,,,,,,,,,,
,,,,,,,,,,,,,3,343,0.9014624953269958,0.9030749797821045,0.9646721144365903,0.8028274928560686,0.8916903138160706,0.9118312001228333,0.9147540926933289,0.8880733847618103,0.1119266077876091,0.08524589985609055,0.2371298372745514,0.2371298372745514,0.0
0.9223602414131165,0.6073298454284668,0.9239878856906191,0.607838061710499,0.5631067752838135,0.965237557888031,0.6590909361839294,0.9487471580505371,0.05125284567475319,0.34090909361839294,0.19358748197555542,0.19358748197555542,0.0,4,429,,,,,,,,,,,,,
,,,,,,,,,,,,,4,429,0.9243144392967224,0.9255930781364441,0.976787545869818,0.8484793306402363,0.9163700938224792,0.9327067732810974,0.9350036382675171,0.9134756922721863,0.08652430027723312,0.06499636918306351,0.1900951862335205,0.1900951862335205,0.0
