val/accuracy,val/PPV,val/NPV,val/TPR,val/TNR,val/f1,val/auroc,val/accuracy_group_0,val/accuracy_group_1,val/disease_prevalence_group_0,val/disease_prevalence_group_1,val/prevalence_group_0,val/prevalence_group_1,val/auc_group_0,val/auc_group_1,val/tpr_group_0,val/tpr_group_1,val/tnr_group_0,val/tnr_group_1,val/balanced_acc_group_0,val/balanced_acc_group_1,val/loss,epoch,step,train/accuracy,train/PPV,train/NPV,train/TPR,train/TNR,train/f1,train/auroc,train/accuracy_group_0,train/accuracy_group_1,train/disease_prevalence_group_0,train/disease_prevalence_group_1,train/prevalence_group_0,train/prevalence_group_1,train/auc_group_0,train/auc_group_1,train/tpr_group_0,train/tpr_group_1,train/tnr_group_0,train/tnr_group_1,train/balanced_acc_group_0,train/balanced_acc_group_1,train/loss,test/accuracy,test/PPV,test/NPV,test/TPR,test/TNR,test/f1,test/auroc,test/accuracy_group_0,test/accuracy_group_1,test/disease_prevalence_group_0,test/disease_prevalence_group_1,test/prevalence_group_0,test/prevalence_group_1,test/auc_group_0,test/auc_group_1,test/tpr_group_0,test/tpr_group_1,test/tnr_group_0,test/tnr_group_1,test/balanced_acc_group_0,test/balanced_acc_group_1,test/loss
0.7502238154411316,0.1171875,0.8321536779403687,0.08287292718887329,0.879273533821106,0.09708737581968307,0.6502219388959721,0.8467966318130493,0.5764411091804504,0.10167130919220056,0.2706766917293233,0.6427931960608774,0.35720680393912263,0.7293193161304025,0.4733358788341606,0.054794520139694214,0.10185185074806213,0.9364340901374817,0.7525773048400879,0.4956143145375385,0.42721458571974036,0.28527483344078064,0,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,124,0.8449855446815491,0.2699114978313446,0.8617749810218811,0.05393457040190697,0.9758630990982056,0.08990420401096344,0.7579883427777941,0.8910290002822876,0.7245916724205017,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.7794627629834623,0.6842054194070967,0.055045872926712036,0.052901022136211395,0.978344202041626,0.967861533164978,0.5166950323685479,0.5103812906845766,0.25723493099212646,,,,,,,,,,,,,,,,,,,,,,
0.839231550693512,0.6399999856948853,0.8443983197212219,0.09638553857803345,0.9890643954277039,0.16753926873207092,0.8568929423648421,0.8989598751068115,0.7120253443717957,0.1025260029717682,0.3069620253164557,0.6804853387259858,0.3195146612740142,0.8400278337652366,0.8328861271948406,0.014492753893136978,0.15463916957378387,1.0,0.9589040875434875,0.5072463768115942,0.5567716424233865,0.23607191443443298,1,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,249,0.859294593334198,0.5240384340286255,0.8682820200920105,0.09637489169836044,0.9855178594589233,0.16280806064605713,0.7914427778458972,0.9042165279388428,0.7418330311775208,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.8013684106884778,0.7271744495585077,0.08440367132425308,0.10750853270292282,0.9898428320884705,0.971569836139679,0.5371232606960381,0.5395391858654978,0.20280204713344574,,,,,,,,,,,,,,,,,,,,,,
0.8473204970359802,0.5490196347236633,0.9019138813018799,0.5060241222381592,0.9161604046821594,0.5266457796096802,0.8671258545726039,0.8766716122627258,0.7848101258277893,0.1025260029717682,0.3069620253164557,0.6804853387259858,0.3195146612740142,0.8552884153949516,0.8381113778656499,0.3478260934352875,0.6185566782951355,0.9370861053466797,0.8584474921226501,0.6424560898358768,0.7385020948077013,0.18680822849273682,2,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2,374,0.8626835942268372,0.5583596229553223,0.8752940893173218,0.15649867057800293,0.9795202016830444,0.24447514116764069,0.832252044747757,0.9043900966644287,0.753629744052887,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.8422809540721778,0.769817581221497,0.13394495844841003,0.17747440934181213,0.9848601222038269,0.962299108505249,0.5594025268917403,0.5698867687323076,0.17197845876216888,,,,,,,,,,,,,,,,,,,,,,
0.8382204174995422,0.800000011920929,0.838610827922821,0.048192769289016724,0.9975698590278625,0.09090909361839294,0.8662914110878507,0.8989598751068115,0.7088607549667358,0.1025260029717682,0.3069620253164557,0.6804853387259858,0.3195146612740142,0.8612390824455323,0.8273313562114579,0.014492753893136978,0.07216494530439377,1.0,0.990867555141449,0.5072463768115942,0.5315162641811421,0.15473327040672302,3,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,3,499,0.8599221706390381,0.5187032222747803,0.8780068755149841,0.18390804529190063,0.9717671275138855,0.27154046297073364,0.8412742727299536,0.9036960005760193,0.7454627752304077,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.8496476557857241,0.7776180511903206,0.16146789491176605,0.20477814972400665,0.9812188744544983,0.9412855505943298,0.5713433738540901,0.5730318473487261,0.15933066606521606,,,,,,,,,,,,,,,,,,,,,,
0.8311425447463989,0.4974619150161743,0.9141414165496826,0.5903614163398743,0.8797084093093872,0.5399448871612549,0.8661084190955805,0.8514115810394287,0.7879746556282043,0.1025260029717682,0.3069620253164557,0.6804853387259858,0.3195146612740142,0.8512333237354832,0.8436661488490327,0.4057970941066742,0.7216494679450989,0.9023178815841675,0.8173515796661377,0.6540574911219887,0.7695005413547993,0.19058135151863098,4,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4,624,0.8625580668449402,0.5428571701049805,0.8803498148918152,0.20159150660037994,0.9719133973121643,0.2940038740634918,0.8483416447692793,0.9056047201156616,0.75,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.8643186429473138,0.7734214489721012,0.17614679038524628,0.22525596618652344,0.9817937612533569,0.9400494694709778,0.5789702898576206,0.5826527082269857,0.15320834517478943,,,,,,,,,,,,,,,,,,,,,,
0.8442871570587158,0.7142857313156128,0.8480749130249023,0.1204819306731224,0.9902794361114502,0.20618556439876556,0.850546780072904,0.9004457592964172,0.7246835231781006,0.1025260029717682,0.3069620253164557,0.6804853387259858,0.3195146612740142,0.8380122852481044,0.8224827001835899,0.043478261679410934,0.17525772750377655,0.998344361782074,0.9680365324020386,0.5209113158652462,0.5716471308195641,0.19630470871925354,5,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,5,749,0.8633111715316772,0.54666668176651,0.8822668790817261,0.21750663220882416,0.9701579809188843,0.311195433139801,0.8488336569438646,0.9035224914550781,0.7581669688224792,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.8596214233721662,0.7829843020287972,0.16697247326374054,0.2645051181316376,0.980452299118042,0.9369592070579529,0.5737123788157437,0.6007321641769007,0.15369729697704315,,,,,,,,,,,,,,,,,,,,,,
0.8513650298118591,0.8275862336158752,0.8520833253860474,0.14457830786705017,0.9939246773719788,0.2461538463830948,0.8675064779165265,0.9063892960548401,0.7341772317886353,0.1025260029717682,0.3069620253164557,0.6804853387259858,0.3195146612740142,0.8555523562721951,0.8382526008567528,0.08695652335882187,0.1855670064687729,1.0,0.9771689772605896,0.5434782608695652,0.5813679800404838,0.23233868181705475,6,874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6,874,0.8688339591026306,0.5820610523223877,0.8890232443809509,0.26967287063598633,0.967963695526123,0.36858007311820984,0.852700039681739,0.9066458344459534,0.7699636816978455,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.8648921693080761,0.786467935385615,0.22201834619045258,0.3139931857585907,0.9781525731086731,0.9351050853729248,0.6000854487465759,0.6245491210233002,0.14522245526313782,,,,,,,,,,,,,,,,,,,,,,
0.8442871570587158,0.699999988079071,0.8488008379936218,0.1265060305595398,0.9890643954277039,0.2142857164144516,0.8650177868216488,0.8974739909172058,0.7310126423835754,0.1025260029717682,0.3069620253164557,0.6804853387259858,0.3195146612740142,0.8633746040886842,0.8178694158075601,0.028985507786273956,0.19587628543376923,0.996688723564148,0.9680365324020386,0.5128371244841156,0.5819564091700795,0.1740843951702118,7,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7,999,0.8687084317207336,0.582205057144165,0.8885905742645264,0.26613616943359375,0.9684025645256042,0.3652912676334381,0.8587053302353638,0.9069929122924805,0.7686025500297546,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.8660793090958961,0.7982055544071179,0.20733945071697235,0.32081910967826843,0.9800689816474915,0.9307787418365479,0.5937042207461117,0.6257989259060821,0.14558206498622894,,,,,,,,,,,,,,,,,,,,,,
0.8715874552726746,0.746835470199585,0.8824175596237183,0.35542169213294983,0.9756986498832703,0.48163264989852905,0.8698121770191336,0.9034175276756287,0.8037974834442139,0.1025260029717682,0.3069620253164557,0.6804853387259858,0.3195146612740142,0.8554083885209713,0.8448900814385916,0.15942029654979706,0.49484536051750183,0.9884105920791626,0.9406392574310303,0.5739154429407812,0.7177423151155675,0.16433453559875488,8,1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8,1124,0.8667001128196716,0.5677799582481384,0.8871011137962341,0.2555260956287384,0.9678174257278442,0.3524390161037445,0.8574573214360548,0.9061253070831299,0.7636116147041321,0.09456880097171612,0.2658802177858439,0.7233588552780218,0.27664114472197815,0.866500926573857,0.7938043427819286,0.1981651335954666,0.30887371301651,0.9800689816474915,0.9283065795898438,0.589117064782809,0.6185901357172087,0.1395336389541626,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,9,1125,,,,,,,,,,,,,,,,,,,,,,,0.8622754216194153,0.6363636255264282,0.8647830486297607,0.04964539036154747,0.9953542351722717,0.09210526198148727,0.8542269009316232,0.9073305726051331,0.7455196976661682,0.09681881051175657,0.25448028673835127,0.7215568862275449,0.27844311377245506,0.8865018595493328,0.7458694474539544,0.05714285746216774,0.0422535203397274,0.9984685778617859,0.9855769276618958,0.527805731787355,0.5139152221018418,0.13472573459148407
