pca_mode,label_hypoth,sex_hypoth,age_hypoth,race_hypoth,label_pv,sex_pv,age_pv,race_pv
PCA Mode 1,True,False,True,False,0.0,0.3326326819,0.0,1.0
PCA Mode 2,True,False,True,False,1.3e-09,0.9207778109,0.0,1.0
PCA Mode 3,True,True,True,True,0.0009439345,0.0,0.0,0.0
PCA Mode 4,False,True,True,True,0.3290615598,0.0,0.009231094,0.0
